24 HOUR VOLUME COUNT LOCATIONS,NB TOTAL,SB TOTAL,EB TOTAL, WB TOTOAL,TOTAL VOLUME,DATE,Lost time (l),Saturation headway(h),Green delay time (l+h.n)
"Manor Rd, 2500 blk - West of Stafford St",,,4570,4814,9384,12/5/2002 0:00,4,2,18772
"Manor Rd, 2600 blk - East of Roundtree St",,,4459,5125,9584,2/18/2010 0:00,4,2,19172
"Manor Rd, 2600 blk - East of Stafford St",,,4723,4635,9358,11/18/2003 0:00,4,2,18720
"Manor Rd, 2700 blk - West of Larry Ln",,,4052,4297,8349,9/29/2003 0:00,4,2,16702
"Manor Rd, 2800 blk - West of Randolph Rd",,,4379,4969,9348,3/5/2008 0:00,4,2,18700
"Manor Rd, 3200 blk - West of Tillery St",,,2961,3489,6450,2/18/2010 0:00,4,2,12904
"Manor Rd, 3500 blk - East of Greenwood Ave",,,3624,3969,7593,3/5/2008 0:00,4,2,15190
"Manor Rd, 3500 blk - West of Berkman Dr",,,3584,4251,7835,3/21/2013 0:00,4,2,15674
"Manor Rd, 3700 blk - East of Berkman Dr",,,3819,4378,8197,3/21/2013 0:00,4,2,16398
"Manor Rd, 4300 blk - East of Pershing",,,3551,3805,7356,5/11/2009 0:00,4,2,14716
"Manor Rd, 5200 blk - North of E 51st St",3917,4135,,,8052,3/3/2010 0:00,4,2,16108
"Manor Rd, 5400 blk - North of Wellington Dr",4401,5110,,,9511,1/14/2003 0:00,4,2,19026
"Manor Rd, 5700 blk - North of Rogge Ln",4474,5000,,,9474,2/24/2010 0:00,4,2,18952
"Manor Rd, 5700 blk - North of Rogge Ln",4619,5137,,,9756,2/18/2009 0:00,4,2,19516
"Manor Rd, 5700 blk - North of Rogge Ln",4280,4763,,,9043,7/23/2013 0:00,4,2,18090
"Maple Ave, 2000 blk - East of East 21st St",,,239,222,461,1/23/2013 0:00,4,2,926
"Maplewood Ave, 3800 blk - North of E. 38 1/2 St",694,599,,,1293,9/25/2002 0:00,4,2,2590
"Marathon Blvd, 4300 blk - South of West 44th St",585,277,,,862,4/23/2008 0:00,4,2,1728
"Marcus Abrams Blvd, 1700 blk - West of Manchaca Rd",,,596,687,1283,1/11/2005 0:00,4,2,2570
"Mariposa Dr, 110 blk - East of Kenwood Ave",,,426,567,993,5/17/2001 0:00,4,2,1990
"Mariposa Dr, 1300 blk - West of Farmers Dr",,,416,581,997,4/2/2001 0:00,4,2,1998
"Marsh Dr, 9100 blk - North of Wilcrest Dr",383,400,,,783,9/19/2007 0:00,4,2,1570
"Martin Luther King Jr Blvd East, 1600 blk - West of Leona St",,,6934,7456,14390,8/3/2005 0:00,4,2,28784
"Martin Luther King Jr Blvd East, 200 blk - West of San Jacinto Blvd",,,12915,12249,25164,8/3/2005 0:00,4,2,50332
"Martin Luther King Jr Blvd East, 2500 blk - West of Cedar Ave",,,6812,7491,14303,11/16/2006 0:00,4,2,28610
"Martin Luther King Jr Blvd East, 2800 blk - East of Ulit Ave",,,6534,6921,13455,8/3/2005 0:00,4,2,26914
"Martin Luther King Jr Blvd East, 600 blk - East of Red River St",,,12217,13807,26024,1/31/2011 0:00,4,2,52052
"Martin Luther King Jr Blvd East, 600 blk - East of Red River St",,,14424,15632,30056,4/8/2009 0:00,4,2,60116
"Martin Luther King Jr Blvd East, 7400 blk - West of Sendero Hills Pkwy",,,9378,9834,19212,11/1/2004 0:00,4,2,38428
"Martin Luther King Jr Blvd West, 1100 blk - East of N. Lamar Blvd",,,5963,7858,13821,10/29/2002 0:00,4,2,27646
"Martin Luther King Jr Blvd West, 900 blk - West of Pearl St",,,7468,8679,16147,10/29/2002 0:00,4,2,32298
"Martin Luther King Jr Blvd West, 900 blk - West of Pearl St ",,,6102,7654,13756,6/28/2005 0:00,4,2,27516
"Martin Luther King, Jr Blvd East, 700 blk - @IH35 WSR",,,12399,11103,23502,5/18/2006 0:00,4,2,47008
"Mary St West, 1200 blk - At the Railroad Tracks",,,2432,2332,4764,11/2/2009 0:00,4,2,9532
"Mary St West, 300 blk - West of Newton St",,,1868,1547,3415,10/3/2007 0:00,4,2,6834
"Mary St West, 400 blk - West of Newton St",,,1520,1167,2687,11/6/2008 0:00,4,2,5378
"Marybank Dr, 9100 blk - East of Scotland Well Dr",,,207,180,387,12/16/2002 0:00,4,2,778
"Mason Dells, 2600 blk - West of Midbury Ct",,,824,792,1616,2/7/2011 0:00,4,2,3236
"Mason Dells, 2600 blk - West of Midbury Ct ",824,792,,,1616,2/7/2011 0:00,4,2,3236
"Masterson Pass, 200 blk - West of Garrett Run",,,2334,1701,4035,5/5/2008 0:00,4,2,8074
"Mathews Dr, 2200 blk - South of Windsor Rd",121,154,,,275,2/3/2003 0:00,4,2,554
"Mathews Ln, 2007 - West of Manchaca Rd",,,696,844,1540,9/10/2002 0:00,4,2,3084
"Mathews Ln, 2200 blk - East of Grigsby Dr",,,517,624,1141,9/10/2002 0:00,4,2,2286
"Matthews Ln, 1600 blk - At the Railroad Tracks",,,1988,1917,3905,11/3/2009 0:00,4,2,7814
"Matthews Ln, 2100 blk - East of Lilac Ln",,,818,879,1697,5/20/2002 0:00,4,2,3398
"Mauai Dr, 8200 blk - South of Tula Cove",101,97,,,198,2/7/2011 0:00,4,2,400
"McCall Ln, 3100 blk - North of Seeling Dr",367,459,,,826,3/29/2010 0:00,4,2,1656
"McCall Rd, 1900 blk - Eorth of Griswold",167,92,,,259,1/16/2013 0:00,4,2,522
"McCallen Pass, 12600 blk - North of Canyon Ridge Dr",,,2066,2429,4495,1/31/2007 0:00,4,2,8994
"McCallen Pass, 12700 blk - South of Parmer Ln",2509,2303,,,4812,1/22/2002 0:00,4,2,9628
"McCallen Pass, 12800 blk - North of Parmer Ln",3042,3741,,,6783,1/30/2002 0:00,4,2,13570
"McCallen Pass, 13400 blk - North of Center Ridge Dr",3759,3200,,,6959,1/22/2002 0:00,4,2,13922
"McCandless St, 5300 blk - North of North Loop Blvd",151,158,,,309,10/1/2013 0:00,4,2,622
"McCandless St, 5300 blk - North of North Loop Blvd",151,158,,,309,10/1/2013 0:00,4,2,622
"McCann Dr, 8800 blk - North of Thrushwood Dr",878,1015,,,1893,5/20/2010 0:00,4,2,3790
"McCullough St, 2600 blk - West of Spring Lln",280,259,,,539,10/11/2005 0:00,4,2,1082
"McKinley Avenue, 1200 blk - North of East 12th St",348,418,,,766,9/13/2007 0:00,4,2,1536
"McKinney Falls Pkwy, 3400 blk - West of McCall Ln",2261,3629,,,5890,7/26/2005 0:00,4,2,11784
"McKinney Falls Pkwy, 4100 blk - North of Burleson Rd",,,2408,3766,6174,7/26/2005 0:00,4,2,12352
"McNeil - Merrilltown Rd, 13800 blk - North of Howard Ln ",851,784,,,1635,1/21/2003 0:00,4,2,3274
"McNeil - Merrilltown Rd, 14500 blk - West of Burnet Rd  (FM1325)",580,365,,,945,1/21/2003 0:00,4,2,1894
"McNeil Dr, 5100 blk - West of McNeil Rd / W. Howard Ln",,,12668,12864,25532,12/8/2003 0:00,4,2,51068
"McNeil Dr, 6100 blk - West of Parmer Ln",,,15602,14548,30150,8/26/2003 0:00,4,2,60304
"McNeil Dr, 6500 blk - West of Blackfoot Trail",,,16204,15068,31272,8/27/2003 0:00,4,2,62548
"McNeil Dr, 7100 blk - West of Oakmont St",,,16207,14881,31088,8/27/2003 0:00,4,2,62180
"McNeil Dr, 9400 blk - North of Roundabout",3088,3139,,,6227,9/23/2014 0:00,4,2,12458
"McNeil Rd, 13600 blk - North of McNeil Dr / W. Howard Ln",6104,6181,,,12285,12/8/2003 0:00,4,2,24574
"McNeil Rd, 9200 blk - South of Saunders Ln",1962,1028,,,2990,6/11/2001 0:00,4,2,5984
"McNeil Rd, 9600 blk - North of Saunders Ln ",797,572,,,1369,6/12/2001 0:00,4,2,2742
"McNeil Rd, 9700 blk - East of the Roundabout",,,618,622,1240,10/27/2009 0:00,4,2,2484
"McNeil Rd, 9900 blk - North of Scotch Trl",1377,1503,,,2880,9/16/2009 0:00,4,2,5764
"Meadgreen Dr, 1300 blk - East of Parkfield Dr",,,99,132,231,12/17/2007 0:00,4,2,466
"Meadowview Ln, 7500 blk - South of Prairie Dell",230,195,,,425,5/11/2005 0:00,4,2,854
"Meadowview Ln, 7600 blk - North of Prairie Dell",253,211,,,464,5/11/2005 0:00,4,2,932
"Meander Dr, 1700 blk - North of Redondo Dr ",322,309,,,631,2/15/2011 0:00,4,2,1266
"Mearns Meadow, 1100 blk - North of Stubble Quail",2318,2074,,,4392,12/4/2007 0:00,4,2,8788
"Mearns Meadow, 1300 blk - North of Mountain Quail Dr",1071,1064,,,2135,12/4/2007 0:00,4,2,4274
"Mearns Meadow, 1300 blk - South of Mearns Meadow Cove",1155,1137,,,2292,9/12/2007 0:00,4,2,4588
"Mearns Meadow, 1500 blk - South of Mearns Meadow Cove",1045,1119,,,2164,12/4/2007 0:00,4,2,4332
"Mearns Meadow, 1700 blk - North of Quail Blvd",940,1125,,,2065,12/4/2007 0:00,4,2,4134
"Medical Pkwy, 3800 blk - South of W 39 1/2 St",4378,3785,,,8163,5/8/2007 0:00,4,2,16330
"Medical Pkwy, 4100 blk - South of W 42nd St",3488,3514,,,7002,4/22/2008 0:00,4,2,14008
"Medical Pkwy, 4100 blk - South of W 42nd St",3791,3860,,,7651,5/8/2007 0:00,4,2,15306
"Meehan Dr, 12800 blk - East of Staton Dr",,,369,293,662,1/14/2008 0:00,4,2,1328
"Melibee Trl, 1600 blk - East of Manchaca Rd",,,242,273,515,1/11/2005 0:00,4,2,1034
"Melridge Place, 1300 blk - North of Rabb Rd",2018,2130,,,4148,10/7/2002 0:00,4,2,8300
"Melridge Place, 2000 blk - East of Burford Place",,,1263,1244,2507,2/14/2011 0:00,4,2,5018
"Melridge Place, 2000 blk - East of Burford Place",,,1392,1439,2831,4/8/2002 0:00,4,2,5666
"Melshire Dr, 8700 blk - South of Thrushwood Dr",66,50,,,116,5/20/2010 0:00,4,2,236
"Meridian Park Blvd, 12200 blk South of Espina Dr",1089,,,,1089,11/16/2011 0:00,4,2,2182
"Meridian Park Blvd, 12200 blk South of Espina Dr",,1364,,,1364,11/15/2011 0:00,4,2,2732
"Merle Dr, 4400 blk - North of Redd St",226,439,,,665,2/12/2008 0:00,4,2,1334
"Merrie Lynn Ave, 3200 blk - North of Manor Rd",101,92,,,193,3/29/2004 0:00,4,2,390
"Merriwood Dr, 6200 blk - South of Blueberry Hill",502,548,,,1050,10/1/2007 0:00,4,2,2104
"Mesa Dr, 6600 blk - South of Sierra Dr",3959,3814,,,7773,2/13/2013 0:00,4,2,15550
"Mesa Dr, 7200 blk - South of Cat Hollow",5284,4598,,,9882,3/5/2014 0:00,4,2,19768
"Mesa Dr, 8300 blk - South of Greenflint Lane ",3571,3714,,,7285,9/28/2005 0:00,4,2,14574
"Mesa Dr, 8500 blk - South of Rockford Lane ",3203,2999,,,6202,9/28/2005 0:00,4,2,12408
"Metcalfe Rd, 2600 blk - North of Iroquois Ln",730,869,,,1599,11/5/2008 0:00,4,2,3202
"Metlink Blvd, 3000 blk - North of Metropolis Dr",949,1097,,,2046,1/22/2013 0:00,4,2,4096
"Metric Blvd, 10700 blk - South of Kramer Ln",7302,8082,,,15384,9/9/2009 0:00,4,2,30772
"Metric Blvd, 10900 blk - South of Braker Ln West",6809,7365,,,14174,9/9/2009 0:00,4,2,28352
"Metric Blvd, 11200 blk - North of W Braker Ln",12944,14089,,,27033,9/14/2009 0:00,4,2,54070
"Metric Blvd, 12000 blk - South of Bittern Hollow Dr",12482,15043,,,27525,8/8/2001 0:00,4,2,55054
"Metric Blvd, 12100 blk - North of Bittern Hollow Dr",14277,16062,,,30339,1/21/2003 0:00,4,2,60682
"Metric Blvd, 12400 blk - South of Parmer Ln",12257,11976,,,24233,10/4/2004 0:00,4,2,48470
"Metric Blvd, 12600 blk - North of Parmer Ln",8847,8976,,,17823,9/4/2003 0:00,4,2,35650
"Metric Blvd, 13000 blk - North of Foal Ln",7744,7127,,,14871,9/4/2003 0:00,4,2,29746
"Metric Blvd, 13100 blk - South of Chasewood Dr",8007,7157,,,15164,9/4/2003 0:00,4,2,30332
"Metric Blvd, 13100 blk - South of Chasewood Dr",7409,6777,,,14186,2/27/2002 0:00,4,2,28376
"Metric Blvd, 13400 blk - North of Lynnville Trail",7028,6157,,,13185,9/4/2003 0:00,4,2,26374
"Metric Blvd, 13500 blk - South of W. Howard Ln",6839,5952,,,12791,9/4/2003 0:00,4,2,25586
"Metro Center Dr, 7500 blk - West of Business Drwy",,,2547,2587,5134,5/13/2010 0:00,4,2,10272
"Metro Center Dr, 7600 blk - South of E Riverside Dr",3139,2585,,,5724,5/13/2010 0:00,4,2,11452
"Metropolis Blvd, 7000 blk - West of the Parking Drwy",,,1533,2006,3539,1/22/2013 0:00,4,2,7082
"Metropolis Blvd, 7900 blk - East of the Plant Entrance",,,1321,1564,2885,1/22/2013 0:00,4,2,5774
"Middle Fiskville Rd, 10300 blk - North of Newport Ave",1051,694,,,1745,2/28/2012 0:00,4,2,3494
"Middle Fiskville Rd, 11200 blk - South of Braker Ln",785,355,,,1140,4/19/2005 0:00,4,2,2284
"Middle Fiskville Rd, 6200 blk - South of E. Highland Mall Blvd",4690,2362,,,7052,12/10/2003 0:00,4,2,14108
"Middle Fiskville Rd, 9100 blk - South of Northcape Dr",2543,3381,,,5924,1/29/2007 0:00,4,2,11852
"Middle Ln East, 600 blk - West of IH35",,,876,1200,2076,8/13/2002 0:00,4,2,4156
"Middlebie Dr, 9100 blk - East of Scotland Well Dr",,,198,207,405,12/16/2002 0:00,4,2,814
"Miles Ave, 1900 blk - East of Manchaca Rd",,,515,133,648,9/6/2001 0:00,4,2,1300
"Millway Dr, 8300 blk - North of Daleview Dr",101,127,,,228,5/24/2010 0:00,4,2,460
"Millway Dr, 8300 blk - North of Daleview Dr",102,127,,,229,4/10/2007 0:00,4,2,462
"Millway Dr, 8700 blk - North of Dawnridge Circle",163,130,,,293,5/24/2010 0:00,4,2,590
"Millway Dr, 8700 blk - North of Dawnridge Circle",143,107,,,250,4/10/2007 0:00,4,2,504
"Mimosa Dr, 2000 blk - West of Manchaca Rd",,,126,143,269,9/11/2002 0:00,4,2,542
"Mimosa Dr, 2100 blk - East of Lilac Ln",,,128,162,290,5/20/2002 0:00,4,2,584
"Mimosa Dr, 2200 blk - East of Grigsby Dr",,,100,173,273,9/11/2002 0:00,4,2,550
"Minot Cir, 8700 blk - North of the Minot Circle E/W leg",37,36,,,73,12/3/2007 0:00,4,2,150
"Mira Loma Ln, 6800 blk - North of Marquette Ln",588,1466,,,2054,3/22/2001 0:00,4,2,4112
"Misting Falls Trl, 10700 blk - North of Morado Circle",865,705,,,1570,2/28/2012 0:00,4,2,3144
"Moehle Dr, 1500 blk - West of Harris Blvd",,,101,94,195,1/14/2013 0:00,4,2,394
"Monarch Dr, 2300 blk - At Roxanna Dr",,,1051,1673,2724,4/24/2014 0:00,4,2,5452
"Monarch Dr, 2300 blk - East of Roxanna Dr",,,1507,1380,2887,8/24/2004 0:00,4,2,5778
"Monarch Dr, 2300 blk - East of Woodshire Dr",,,1318,1150,2468,9/19/2007 0:00,4,2,4940
"Monarch Dr, 2300 blk - West of Castlewood Dr",,,1186,1340,2526,10/4/2012 0:00,4,2,5056
"Monarch Dr, 2400 blk - West of Roxanna Dr",,,1117,1351,2468,8/24/2004 0:00,4,2,4940
"Monica St, 1400 blk - East of Swearingin Dr",,,59,66,125,3/18/2003 0:00,4,2,254
"Monroe St East, 400 blk - East of Drake Ln",,,1059,1061,2120,3/12/2002 0:00,4,2,4244
"Monroe St East, 800 Blk - West of Alta Vista Ave",,,792,883,1675,4/11/2001 0:00,4,2,3354
"Monroe St West, 200 blk - East of Newton St",,,489,606,1095,7/23/2003 0:00,4,2,2194
"Monroe St West, 300 blk - West of Newton St",,,477,672,1149,7/23/2003 0:00,4,2,2302
"Monroe St West, 400 blk - West of Roma St",,,593,620,1213,3/18/2014 0:00,4,2,2430
"Montana St, 6700 blk - West of Vasquez St",,,678,940,1618,2/24/2014 0:00,4,2,3240
"Montclaire St, 2000 blk  - East of Ann Arbor Ave",,,287,362,649,5/9/2005 0:00,4,2,1302
"Montclaire St, 2000 blk  - East of Ann Arbor Ave",,,180,165,345,6/19/2001 0:00,4,2,694
"Montclaire St, 2100 blk - East of Paramount Ave",,,163,175,338,4/10/2002 0:00,4,2,680
"Montclaire St, 2100 blk - West of Ann Arbor St",,,206,186,392,5/9/2005 0:00,4,2,788
"Monterrey Oaks Blvd, 4400 blk - South of Staggerbrush Rd",,,3239,2699,5938,11/6/2006 0:00,4,2,11880
"Montopolis Dr, 1400 blk - South of Marigold",8967,8765,,,17732,5/1/2013 0:00,4,2,35468
"Montopolis Dr, 1600 blk - North of Fairway St",9311,8646,,,17957,5/1/2013 0:00,4,2,35918
"Montopolis Dr, 2700 blk - North of Oltorf St",8070,6960,,,15030,11/18/2003 0:00,4,2,30064
"Morgan Creek Dr, 10100 blk - North of Whistling Straits Dr",1143,1137,,,2280,4/14/2008 0:00,4,2,4564
"Morgan Creek Dr, 10500 blk - North of Whistling Straits Dr",694,733,,,1427,4/11/2006 0:00,4,2,2858
"Morgan Creek Dr, 9500 blk - North of Whistling Straits Dr",871,842,,,1713,4/14/2008 0:00,4,2,3430
"Morgan Creek Dr, 9700 blk - South of Fern Hill Dr",340,339,,,679,4/14/2008 0:00,4,2,1362
"Morgan Creek Dr, 9900 blk - West of Belfin Dr",,,452,458,910,10/25/2010 0:00,4,2,1824
"Morgan Creek Dr, 9900 blk - West of Belfin Dr",,,394,365,759,4/14/2008 0:00,4,2,1522
"Morgan Creek Dr, 9900 blk - West of Belfin Dr",,,468,482,950,9/26/2012 0:00,4,2,1904
"Morgan Ln, 1400 blk - West of Bannister Ln",,,508,312,820,10/8/2012 0:00,4,2,1644
"Morrow St, 1100 blk - West of Watson St",,,1072,561,1633,9/15/2010 0:00,4,2,3270
"Morrow St, 1100 blk - West of Watson St",,,1261,648,1909,3/9/2009 0:00,4,2,3822
"Morrow St, 1100 blk - West of Watson St",,,1333,649,1982,1/25/2007 0:00,4,2,3968
"Morrow St, 1200 blk - East of Gault St",,,1635,740,2375,3/9/2004 0:00,4,2,4754
"Morrow St, 1200 blk - West of Watson St",,,1237,609,1846,11/13/2007 0:00,4,2,3696
"Morrow St, 1200 blk - West of Watson St",,,1368,659,2027,9/12/2007 0:00,4,2,4058
"Morrow St, 1500 blk - West of Woodrow Ave",,,1174,945,2119,11/14/2007 0:00,4,2,4242
"Morrow St, 1700 blk - East of Yates Ave",,,1462,1217,2679,3/9/2004 0:00,4,2,5362
"Morrow St, 600 blk - East of N. Lamar Blvd",,,1118,1172,2290,3/29/2004 0:00,4,2,4584
"Morrow St, 600 blk - East of Paxton St",,,866,889,1755,3/9/2009 0:00,4,2,3514
"Morrow St, 900 blk - West of North Lamar Blvd",,,1089,486,1575,9/15/2010 0:00,4,2,3154
"Mosley Ln, 12200 blk - South of Cassady Dr",,,611,412,1023,3/31/2004 0:00,4,2,2050
"Mosquero Cir, 8700 blk - South of Mosquero Cir E/W leg",56,65,,,121,12/3/2007 0:00,4,2,246
"Mountain Quail Rd, 10100 blk - East of Mearns Meadow",,,642,621,1263,12/5/2007 0:00,4,2,2530
"Mountain Quail Rd, 9700 blk - North of Thornridge Rd",965,929,,,1894,12/5/2007 0:00,4,2,3792
"Mountain Quail Rd, 9700 blk - North of Thornridge Rd",1064,1057,,,2121,9/13/2007 0:00,4,2,4246
"Mountain Ridge Dr, 8600 blk - North of Hyridge Dr",1353,643,,,1996,4/8/2003 0:00,4,2,3996
"Mountain Ridge Dr, 8700 bk - North of Hyridge Dr",1394,687,,,2081,5/23/2006 0:00,4,2,4166
"Mountain Ridge Dr, 8700 blk - South of Capital of Texas Hwy",1177,538,,,1715,4/8/2003 0:00,4,2,3434
"Mountin Ridge Dr, 8700 blk- South of Mountain Path Dr",1329,566,,,1895,2/22/2012 0:00,4,2,3794
"Mt Bonnell Rd, 4100 blk - South of Mt Bonnell Dr",598,901,,,1499,12/16/2002 0:00,4,2,3002
"Mt Vernon Dr, 4400 blk - North of Redd St",1282,1559,,,2841,2/12/2008 0:00,4,2,5686
"Mt Vernon Dr, 4400 blk - North of Redd St",1460,1594,,,3054,5/5/2005 0:00,4,2,6112
"Mt Vernon Dr, 4400 blk - North of Redd St",1328,1557,,,2885,2/5/2004 0:00,4,2,5774
"Mt Vernon Dr, 4500 blk - North of Philco Dr",532,683,,,1215,2/12/2008 0:00,4,2,2434
"Mt Vernon Dr, 4500 blk - South of Redd St",609,662,,,1271,5/5/2005 0:00,4,2,2546
"Mullen Dr, 7700 blk - Norht of St Joseph Blvd",109,224,,,333,11/13/2007 0:00,4,2,670
"Mullen Dr, 7900 blk - South of Pompton Dr",1031,926,,,1957,1/30/2013 0:00,4,2,3918
"Mustang Chase, 11900 blk - North of Duval Rd",349,377,,,726,10/16/2002 0:00,4,2,1456
"Mustang Chase, 12000 blk - North of Rambling Ridge",371,370,,,741,10/2/2002 0:00,4,2,1486
"Mustang Chase, 12000 blk - South of Rambling Ridge",396,414,,,810,10/2/2002 0:00,4,2,1624
"Mystic Oaks Trail, 9400 blk - East of Grand Oak Dr",,,65,77,142,1/14/2003 0:00,4,2,288
"Narrow Glen Pkwy, 2300 blk - East of Brandts Woods St",,,953,1125,2078,11/18/2010 0:00,4,2,4160
"Nasco Dr, 6200 blk - South of Whitehorse Trail",169,145,,,314,5/17/2004 0:00,4,2,632
"Nasco Dr, 6300 blk - North of Whitehorse Trail",213,149,,,362,5/17/2004 0:00,4,2,728
"Nassau Dr, 5500 blk - North of Corona Dr",91,84,,,175,1/29/2003 0:00,4,2,354
"Nassau Dr, 5600 blk - South of Ridgehaven Dr",42,71,,,113,1/13/2009 0:00,4,2,230
"Nassau Dr, 5700 blk - North of Ridgehaven Dr",63,87,,,150,1/13/2009 0:00,4,2,304
"Nassau Dr, 5700 blk - North of Ridgehaven Dr",44,51,,,95,1/29/2003 0:00,4,2,194
"Nassau Dr, 5800 blk - North of Northridge Dr",105,113,,,218,1/13/2009 0:00,4,2,440
"Natures Bend, 13000 blk - North of Waterfall",243,208,,,451,10/10/2013 0:00,4,2,906
"Natures Bend, 13000 blk - North of Waterfall",243,208,,,451,10/10/2013 0:00,4,2,906
"Neans Dr, 1000 blk - East of Aspen St",,,440,558,998,9/12/2007 0:00,4,2,2000
"Neenah Ave, 9600 blk - West of Olive Hill Dr",,,762,754,1516,8/7/2007 0:00,4,2,3036
"Nesbit Dr, 2900 blk - East of Bernoulli Dr",,,391,450,841,11/29/2007 0:00,4,2,1686
"Nesbit Dr, 3000 blk - West of Linkmeadow",,,146,116,262,11/29/2007 0:00,4,2,528
"New York Ave, 1700 blk - East of Leona",,,134,194,328,1/23/2013 0:00,4,2,660
"Newfield Ln, 1300 blk - North of Waterston Ave                 1-way NB",9195,n/a,,,9195,2/4/2003 0:00,4,2,18394
"Newfield Ln, 1600 blk - North of Enfield Ln                        1-way NB",352,n/a,,,352,9/21/2009 0:00,4,2,708
"Newfield Ln, 1600 blk - North of Enfield Ln                        1-way NB",460,n/a,,,460,2/4/2003 0:00,4,2,924
"Newfield Ln, 2200 blk - North of Polo Rd",200,46,,,246,9/21/2009 0:00,4,2,496
"Newfield Ln, 900 blk - South of W. 10th St                       1-way NB",9075,n/a,,,9075,2/4/2003 0:00,4,2,18154
"Newmont Rd, 10600 blk - South of Windy Trl",621,497,,,1118,12/6/2007 0:00,4,2,2240
"Newning Ave, 100 blk - South of Riverside Dr",386,645,,,1031,5/16/2001 0:00,4,2,2066
"Newning Ave, 1200 blk - South of Academy Dr",343,271,,,614,3/25/2010 0:00,4,2,1232
"Newning Ave, 1300 blk - North of Pecan Grove Rd",346,263,,,609,3/25/2010 0:00,4,2,1222
"Newton St, 1500 blk - North of Monroe St",158,268,,,426,7/21/2003 0:00,4,2,856
"Nightjar Dr, 9600 blk - South of Sugar Hill Dr",165,182,,,347,11/29/2007 0:00,4,2,698
"Niles Rd, 1600 blk - West of West Lynn",,,488,1019,1507,10/6/2008 0:00,4,2,3018
"Niles Rd, 1700 blk - West of Woodlawn Blvd",,,379,1012,1391,4/30/2007 0:00,4,2,2786
"North Bluff Dr, 300 blk - West of Crow Ln",,,528,1536,2064,10/15/2002 0:00,4,2,4132
"North Bluff Dr, 400 blk - South of Crow Ln",1459,449,,,1908,10/15/2002 0:00,4,2,3820
"North Creek Dr, 9500 blk - South of Rock Hollow Dr",1917,1261,,,3178,4/16/2014 0:00,4,2,6360
"North Creek Dr, 9500 blk - South of Rockhollow Ln",1932,1103,,,3035,7/6/2010 0:00,4,2,6074
"North Creek Dr, 9600 blk - North of Rockhollow Ln",106,107,,,213,7/6/2010 0:00,4,2,430
"North Fresco, 5000 blk - South of Hancock Dr",48,39,,,87,4/4/2001 0:00,4,2,178
"North Hampton Dr, 6300 blk - South of Bristol St",2441,2521,,,4962,3/22/2001 0:00,4,2,9928
"North Hills Dr, 3800 blk - West of Rockledge Dr",,,1510,2864,4374,10/1/2002 0:00,4,2,8752
"North Hills Dr, 4200 blk - East of Farhills Dr",,,151,420,571,8/4/2003 0:00,4,2,1146
"North Hills Dr, 4200 blk - East of Farhills Dr  ",,,138,394,532,2/23/2011 0:00,4,2,1068
"North Loop Blvd, 200 blk - West of Chesterfield Ave",,,3110,3265,6375,6/11/2014 0:00,4,2,12754
"North Meadows Dr, 1000 blk - West of Newmont Rd",,,573,623,1196,12/6/2007 0:00,4,2,2396
"North Meadows Dr, 900 blk - East of Newmont Rd",,,847,821,1668,12/6/2007 0:00,4,2,3340
"North Shields Dr, 2200 blk - West of Broughton Way",,,390,215,605,4/19/2005 0:00,4,2,1214
"North Shields Dr, 2300 blk - West of Broughton Way",,,428,249,677,1/16/2008 0:00,4,2,1358
"North Shields Dr, 2400 blk - West of Winwick Way",,,488,285,773,9/17/2007 0:00,4,2,1550
"North Shields Dr, 2500 blk - West of Winwick Way",,,446,278,724,1/16/2008 0:00,4,2,1452
"North Shields Dr, 2500 blk - West of Winwick Way",,,578,323,901,10/7/2013 0:00,4,2,1806
"North Shields Dr, 2500 blk - West of Winwick Way",,,578,323,901,10/7/2013 0:00,4,2,1806
"North Shields Dr, 2600 blk - East of Wingate Way",,,297,136,433,4/19/2005 0:00,4,2,870
"Northbend Dr, 900 blk - East of Eubank Dr",,,1091,966,2057,4/9/2003 0:00,4,2,4118
"Northcrest Blvd, 7500 blk - North of Cinderella Dr",1510,1267,,,2777,12/10/2003 0:00,4,2,5558
"Northeast Dr, 2600 blk - East of Willamette Dr",,,1229,1141,2370,2/25/2010 0:00,4,2,4744
"Northeast Dr, 2600 blk - East of Willamette Dr",,,1133,1105,2238,2/18/2009 0:00,4,2,4480
"Northeast Dr, 3100 blk - East of Arnold Dr",,,1455,1389,2844,3/22/2001 0:00,4,2,5692
"Northeast Dr, 6700 blk - North of Lehigh Dr",1197,1191,,,2388,2/25/2010 0:00,4,2,4780
"Northeast Dr, 6700 blk - South of Loyola Ln",1603,1891,,,3494,3/22/2001 0:00,4,2,6992
"Northeast Dr, 7000 blk - North of Vanderbilt Circle",2140,2444,,,4584,3/22/2001 0:00,4,2,9172
"Northridge Dr, 1300 blk - West of Nassau Dr",,,257,213,470,1/13/2009 0:00,4,2,944
"Northridge Dr, 1300 blk - West of Nassau Dr",,,241,196,437,4/8/2003 0:00,4,2,878
"Northridge Dr, 1400 blk - East of Nassau Dr",,,168,137,305,1/13/2009 0:00,4,2,614
"Northridge Dr, 1400 blk - East of Nassau Dr",,,163,134,297,4/8/2003 0:00,4,2,598
"Northridge Dr, 1400 blk - West of Nassau Dr",,,281,202,483,1/30/2013 0:00,4,2,970
